species	species_name	mass.g	home.range	extant	loctype	pc	litter	diet.cat	shannon	simpson	abundance	longevity	activity	soc.complexity	gr.size	ges.days	interbirth.days	weaning.days	eqm	BMRres	afrotropic	australasia	indomalaya	neotropic	nearctic	palearctic
Tremarctos floridanus	Tremarctos_floridanus	0.867153562	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.124982692	0	0	0	1	1	0
Tremarctos ornatus	Tremarctos_ornatus	0.801629154	NA	1	sc	NA	NA	1	0.479402694	0.02597508	NA	NA	Cath/Cre	1	0	0.803620301	0.484437008	0.735490108	-0.283501601	0.123144295	0	0	0	1	0	0
Urocyon cinereoargenteus	Urocyon_cinereoargenteus	0.430843579	0.349434332	1	a	0.285217307	0.358974359	1	0.486309895	0.024550702	NA	0.211428571	Cath/Cre	NA	NA	NA	NA	NA	NA	-0.009969743	0	0	0	1	1	0
Ursus americanus	Ursus_americanus	0.793753483	0.755752041	1	sc	0.440209605	0.192307692	1	0.795246574	0.006211361	NA	0.72	Diu	1	0	0.810678044	0.864994929	0.724398118	0.130499202	0.090704388	0	0	0	0	1	0
Ursus arctos	Ursus_arctos	0.826982014	0.687148026	1	sc	0.500938886	0.192307692	1	0.701405688	0.010014087	NA	0.891428571	Cath/Cre	1	0	0.833560217	0.914439108	0.753179911	0.118172163	0.107213176	0	0	0	0	1	1
Ursus maritimus	Ursus_maritimus	0.921749804	NA	1	t	0.448462764	0.115384615	NA	NA	NA	NA	1	Diu	NA	NA	NA	NA	NA	0.050536997	0.047782919	0	0	0	0	1	0
Ursus spelaeus	Ursus_spelaeus	0.898410958	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093612798	0	0	0	0	0	1
Ursus thibetanus	Ursus_thibetanus	0.728284858	0.733924099	1	t	NA	0.128205128	1	0.190343749	0.078022036	NA	NA	Cath/Cre	1	0	0.803620301	0.484437008	0.475280034	0.346073195	0.096233399	0	0	1	0	0	1
Urva edwardsii	Herpestes_edwardsii	0.307032898	NA	1	t	NA	NA	NA	NA	NA	NA	NA	Diu	NA	NA	NA	NA	NA	-0.356341102	-0.11259527	0	0	1	0	0	0
Vulpes chama	Vulpes_chama	0.387688174	0.680085752	1	t	0.621213434	0.384615385	2	0.577424077	0.021469458	NA	NA	Noc	3	0.214021611	0.2857186	0.484437008	0.420268376	0.428780051	-0.03411388	1	0	0	0	0	0
Vulpes corsac	Vulpes_corsac	0.382667662	NA	1	t	0.742200939	0.576923077	NA	NA	NA	NA	NA	Noc	NA	NA	NA	NA	NA	NA	-0.024138997	0	0	0	0	0	1
Vulpes lagopus	Vulpes_lagopus	0.408425067	NA	1	t	NA	0.641025641	NA	NA	NA	NA	0.214285714	Cath/Cre	4	0.214021611	0.285077922	0.484437008	0.299881453	0.256352807	-0.003967994	0	0	0	0	1	1
Vulpes macrotis	Vulpes_macrotis	0.317473047	NA	1	t	NA	0.448717949	3	0.708947479	0.008907751	NA	NA	Noc	NA	NA	NA	NA	NA	NA	0.006538526	0	0	0	0	1	0
Vulpes rueppellii	Vulpes_rueppellii	0.40629596	NA	1	t	NA	NA	NA	NA	NA	NA	0.157142857	Noc	4	0.412205499	0.285077922	0.484437008	0.296354374	-0.182095695	-0.097650935	0	0	0	0	0	1
Vulpes velox	Vulpes_velox	0.371174854	NA	1	t	0.757709496	0.448717949	NA	NA	NA	NA	0.202857143	Noc	4	0.282921181	0.274235155	0.484437008	0.282467521	0.624878887	-0.049219756	0	0	0	0	1	0
Vulpes vulpes	Vulpes_vulpes	0.460045606	0.426609247	1	t	0.668546988	0.641025641	3	0.705930199	0.007822033	NA	0.357142857	Noc	4	0.339216228	0.281498476	0.484437008	0.30827167	0.119962439	-0.032427168	0	1	0	0	1	1
